time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-05T04:15:45.740Z,19.4393,111.8479,75,3.38,md,15,237,0.9534,0.69,pr,pr2019036007,2019-02-05T11:18:31.606Z,"98km NNE of Punta Cana, Dominican Republic",earthquake,7.36,13.04,0.41,13,reviewed,pr,pr
2019-02-09T23:50:05.130Z,19.6961,111.8515,69,2.9,md,4,263,1.9835,0.46,pr,pr2019040005,2019-02-10T04:32:07.298Z,"123km NE of Miches, Dominican Republic",earthquake,10.41,26.19,0.28,4,reviewed,pr,pr
2019-02-06T17:57:07.020Z,18.8713,111.872,67,3.18,md,12,249,0.4381,0.49,pr,pr2019037019,2019-02-06T18:43:13.779Z,"43km NE of Punta Cana, Dominican Republic",earthquake,4.18,4.23,0.1,6,reviewed,pr,pr
2019-02-08T22:41:04.990Z,19.4291,111.8775,85,2.87,md,12,228,0.9511,0.3,pr,pr2019039018,2019-02-09T03:02:40.040Z,"78km NNE of Punta Cana, Dominican Republic",earthquake,2.16,3.62,0.51,10,reviewed,pr,pr
2019-02-09T18:02:07.460Z,19.4578,111.8775,83,3.22,md,8,249,0.9787,0.47,pr,pr2019040004,2019-02-09T21:03:26.547Z,"101km NNE of Punta Cana, Dominican Republic",earthquake,6.9,12.54,0.23,8,reviewed,pr,pr
2019-02-07T03:12:58.970Z,19.4253,111.8839,77,3.25,md,9,240,0.9492,0.71,pr,pr2019038008,2019-02-07T09:18:36.451Z,"98km NNE of Punta Cana, Dominican Republic",earthquake,8.43,14.66,0.21,9,reviewed,pr,pr
2019-02-05T12:25:01.380Z,19.3681,111.8969,12,3.05,md,10,243,0.8984,0.43,pr,pr2019036027,2019-02-05T15:08:52.201Z,"92km NNE of Punta Cana, Dominican Republic",earthquake,6.5,6.2,0.36,9,reviewed,pr,pr
2019-02-05T04:57:49.200Z,19.551,111.9057,58,3.08,md,16,243,1.0761,0.7,pr,pr2019036011,2019-02-05T11:20:22.629Z,"112km NNE of Punta Cana, Dominican Republic",earthquake,6.93,20.97,0.38,14,reviewed,pr,pr
2019-02-05T13:42:59.240Z,19.5978,111.918,41,3.03,md,8,251,1.1245,0.42,pr,pr2019036031,2019-02-05T16:22:47.040Z,"77km NNE of Punta Cana, Dominican Republic",earthquake,4.69,23.3,0.31,6,reviewed,pr,pr
2019-02-05T05:00:58.830Z,19.3565,111.9234,79,3.42,md,20,214,0.896,0.52,pr,pr2019036002,2019-02-05T16:56:50.275Z,"92km NNE of Punta Cana, Dominican Republic",earthquake,5.07,9.77,0.38,14,reviewed,pr,pr
2019-02-08T10:42:21.890Z,18.688,111.9255,38,2.9,md,7,189,0.3528,0.68,pr,pr2019039012,2019-02-08T15:07:07.147Z,"36km ENE of Punta Cana, Dominican Republic",earthquake,7.84,8.84,0.24,3,reviewed,pr,pr
2019-02-05T04:07:27.180Z,19.5725,111.9387,33,4.38,md,21,223,1.1059,0.75,pr,pr2019036001,2019-02-05T05:28:29.435Z,"81km NNE of Punta Cana, Dominican Republic",earthquake,4.73,44.94,0.36,21,reviewed,pr,pr
2019-02-05T04:27:20.860Z,19.7633,111.9465,24,2.49,md,4,267,1.9944,0.28,pr,pr2019036009,2019-02-05T11:19:21.573Z,"135km NNE of Punta Cana, Dominican Republic",earthquake,2.62,24.87,0,1,reviewed,pr,pr
2019-02-05T02:01:54.950Z,19.2755,111.9664,97,3.76,md,20,203,0.8373,0.68,pr,pr2019036000,2019-02-05T04:42:51.040Z,"78km NNE of Punta Cana, Dominican Republic",earthquake,5.28,7.32,0.4,20,reviewed,pr,pr
2019-02-03T07:11:11.220Z,19.5425,112.085,40,3.31,md,17,265,1.1294,0.36,pr,pr2019034006,2019-02-03T08:32:49.772Z,"118km NNE of Punta Cana, Dominican Republic",earthquake,2.66,14.92,0.39,18,reviewed,pr,pr
2019-02-08T02:09:37.290Z,18.1715,112.106,116,2.57,md,6,191,0.5956,0.53,pr,pr2019039002,2019-02-08T06:24:24.724Z,"70km SE of Punta Cana, Dominican Republic",earthquake,6.92,3.68,0.26,6,reviewed,pr,pr
